PID   COMMAND          COMMAND
  393 ipv6_addrconf    [ipv6_addrconf]
  394 irq/559-adsp     [irq/559-adsp]
  395 sysmon_wq        [sysmon_wq]
  396 qmi_svc_event_w  [qmi_svc_event_w]
  397 adsp             [adsp]
  398 sys_mon          [sys_mon]
  399 irq/591-slpi     [irq/591-slpi]
  400 slpi             [slpi]
  401 sys_mon          [sys_mon]
  402 irq/527-modem    [irq/527-modem]
  403 irq/80-hs_phy_i  [irq/80-hs_phy_i]
  404 irq/81-ss_phy_i  [irq/81-ss_phy_i]
  405 irq/82-msm_dwc3  [irq/82-msm_dwc3]
  406 usb_bam_wq       [usb_bam_wq]
  407 kworker/3:2      [kworker/3:2]
  408 dbmdx-wq         [dbmdx-wq]
  409 irq/251-dbmdx_s  [irq/251-dbmdx_s]
  411 rq_stats         [rq_stats]
  412 msm_perf:events  [msm_perf:events]
  413 FILE_FREE        [FILE_FREE]
  414 irq/164-arm-smm  [irq/164-arm-smm]
  415 irq/165-arm-smm  [irq/165-arm-smm]
  416 irq/166-arm-smm  [irq/166-arm-smm]
  417 irq/167-arm-smm  [irq/167-arm-smm]
  418 irq/168-arm-smm  [irq/168-arm-smm]
  419 irq/169-arm-smm  [irq/169-arm-smm]
  420 irq/170-arm-smm  [irq/170-arm-smm]
  421 irq/171-arm-smm  [irq/171-arm-smm]
  422 sb-1             [sb-1]
  423 ngd_rx_thread1   [ngd_rx_thread1]
  424 ngd_notify_sl1   [ngd_notify_sl1]
  425 k_bam_data       [k_bam_data]
  426 mtp_read_send    [mtp_read_send]
  427 usb_notify       [usb_notify]
  428 irq/690-certify  [irq/690-certify]
  429 msm-core:sampli  [msm-core:sampli]
  430 msm_thermal:hot  [msm_thermal:hot]
  431 msm_thermal:fre  [msm_thermal:fre]
  432 msm_thermal:the  [msm_thermal:the]
  433 therm_core:noti  [therm_core:noti]
  434 therm_core:noti  [therm_core:noti]
  435 therm_core:noti  [therm_core:noti]
  436 therm_core:noti  [therm_core:noti]
  437 therm_core:noti  [therm_core:noti]
  438 therm_core:noti  [therm_core:noti]
  439 therm_core:noti  [therm_core:noti]
  440 therm_core:noti  [therm_core:noti]
  441 irq/113-lmh-int  [irq/113-lmh-int]
  442 irq/687-flip_co  [irq/687-flip_co]
  443 ipa_A7_svc       [ipa_A7_svc]
  444 qmi_hndl0000000  [qmi_hndl0000000]
  445 clnt_req         [clnt_req]
  446 clnt_resp        [clnt_resp]
  447 clnt_req         [clnt_req]
  448 soc:battery      [soc:battery]
  449 therm_core:noti  [therm_core:noti]
  450 therm_core:noti  [therm_core:noti]
  572 kworker/2:2      [kworker/2:2]
  573 kworker/2:3      [kworker/2:3]
  574 ueventd          /sbin/ueventd
  575 kworker/0:2      [kworker/0:2]
  576 kworker/0:3      [kworker/0:3]
  579 kworker/3:1H     [kworker/3:1H]
  580 ext4-rsv-conver  [ext4-rsv-conver]
  583 jbd2/sda21-8     [jbd2/sda21-8]
  584 ext4-rsv-conver  [ext4-rsv-conver]
  586 jbd2/sda5-8      [jbd2/sda5-8]
  587 ext4-rsv-conver  [ext4-rsv-conver]
